iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density
EGY,Africa,Egypt,12/27/20,132541,1226,998,7405,53,43.857,1271.275,11.759,9.572,71.026,0.508,0.421,1.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,65.74,104258327,97.999
EGY,Africa,Egypt,5/1/21,228584,1032,1002,13402,63,57.714,2192.477,9.898,9.611,128.546,0.604,0.554,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,30486,0,0,0,0,292,19255,0.018,50.93,104258327,97.999
EGY,Africa,Egypt,9/3/21,289353,318,280,16766,11,8.571,2775.347,3.05,2.686,160.812,0.106,0.082,1.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,166317,0,0,0,0,1595,133086,0.128,43.52,104258327,97.999
EGY,Africa,Egypt,1/6/22,390294,840,795.143,21882,19,22.143,3743.528,8.057,7.627,209.883,0.182,0.212,1.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,399467,0,0,0,0,3832,186594,0.179,43.52,104258327,97.999
ETH,Africa,Ethiopia,6/16/20,3630,109,184.857,61,1,4.143,30.795,0.925,1.568,0.517,0.008,0.035,1.08,0,0,0,0,0,0,0,0,5102,192087,1.63,0.043,5679,0.048,0.0326,30.7,tests performed,0,0,0,0,0,0,0,0,0,0,0,0,0,80.56,117876226,104.957
ETH,Africa,Ethiopia,10/19/20,89860,723,674.857,1365,13,9.143,762.325,6.134,5.725,11.58,0.11,0.078,0.93,0,0,0,0,0,0,0,0,6546,1403894,11.91,0.056,6752,0.057,0.0999,10,tests performed,0,0,0,0,0,0,0,0,0,0,0,0,0,58.33,117876226,104.957
ETH,Africa,Ethiopia,2/21/21,152806,949,816.286,2279,8,12.143,1296.326,8.051,6.925,19.334,0.068,0.103,1.12,0,0,0,0,0,0,0,0,6005,2090850,17.738,0.051,6285,0.053,0.1299,7.7,tests performed,0,0,0,0,0,0,0,0,0,0,0,0,0,37.96,117876226,104.957
ETH,Africa,Ethiopia,6/26/21,275881,112,120.714,4309,7,4.143,2340.43,0.95,1.024,36.555,0.059,0.035,0.75,0,0,0,0,0,0,0,0,5307,2850570,24.183,0.045,4416,0.037,0.0273,36.6,tests performed,1988902,1988902,0,0,567,1882,1.69,1.69,0,0,16,1882,0.002,43.52,117876226,104.957
ETH,Africa,Ethiopia,10/29/21,364576,478,418.429,6437,9,14.857,3092.871,4.055,3.55,54.608,0.076,0.126,0.77,0,0,0,0,0,0,0,0,0,0,0,0,7177,0.061,0.0583,17.2,tests performed,4673027,3464375,1208652,0,88062,58269,3.96,2.94,1.03,0,494,37520,0.032,43.52,117876226,104.957
FRA,Europe,France,5/24/20,184180,-439,365.143,28372,-80,37,2731.749,-6.511,5.416,420.812,-1.187,0.549,1.06,1618,23.998,17129,254.057,268,3.975,2201,32.645,7235,400635,5.942,0.107,35133,0.521,0.019,52.6,people tested,0,0,0,0,0,0,0,0,0,0,0,0,0,76.85,67422000,122.578
FRA,Europe,France,9/26/20,566966,14219,12187.143,31708,39,60.429,8409.214,210.896,180.759,470.292,0.578,0.896,1.17,1105,16.389,6154,91.276,763,11.317,4102,60.841,84881,12130532,179.919,1.259,170371,2.527,0.063,15.9,people tested,0,0,0,0,0,0,0,0,0,0,0,0,0,49.54,67422000,122.578
FRA,Europe,France,1/29/21,3194477,23205,20392.286,75633,821,424.857,47380.336,344.175,302.457,1121.785,12.177,6.301,1.05,3120,46.276,27270,404.467,1850,27.439,11353,168.387,414021,44108855,654.221,6.141,310404,4.604,0.064,15.6,people tested,1683961,1641580,42381,0,109368,84544,2.5,2.43,0.06,0,1254,78611,0.117,63.89,67422000,122.578
FRA,Europe,France,6/3/21,5736184,15554,8366.857,109844,70,94.714,85078.817,230.696,124.097,1629.201,1.038,1.405,0.76,2677,39.705,15283,226.677,776,11.51,3146,46.661,367151,86641546,1285.063,5.446,308238,4.572,0.026,38.5,people tested,39465672,27716285,12044294,52243,725093,558108,58.54,41.11,17.86,0.08,8278,358955,0.532,54.63,67422000,122.578
FRA,Europe,France,10/6/21,7082854,4570,4303,116991,59,46.429,105052.564,67.782,63.822,1735.205,0.875,0.689,0.92,1242,18.421,7038,104.387,344,5.102,1444,21.417,403413,146577664,2174.033,5.983,462343,6.857,0.01,100,people tested,96395114,51104781,44835047,1521162,187534,148784,142.97,75.8,66.5,2.26,2207,38236,0.057,66.67,67422000,122.578
GBR,Europe,United Kingdom,5/4/20,192387,3378,4204.429,28531,272,597.857,2820.63,49.526,61.642,418.299,3.988,8.765,0.86,1936,28.384,14097,206.679,0,0,9331,136.804,73661,1202251,17.626,1.08,67957,0.996,0.0619,16.2,tests performed,0,0,0,0,0,0,0,0,0,0,0,0,0,79.63,68207114,272.898
GBR,Europe,United Kingdom,9/6/20,347778,2983,1812.286,41599,2,7.429,5098.852,43.734,26.57,609.892,0.029,0.109,1.42,69,1.012,817,11.978,0,0,944,13.84,169890,15541294,227.854,2.491,172982,2.536,0.0105,95.4,tests performed,0,0,0,0,0,0,0,0,0,0,0,0,0,64.35,68207114,272.898
GBR,Europe,United Kingdom,1/9/21,3020669,59974,59688.714,80941,1035,901.571,44286.715,879.292,875.11,1186.694,15.174,13.218,1.08,3145,46.11,34033,498.966,0,0,28523,418.182,530216,53647366,786.536,7.774,530310,7.775,0.1126,8.9,tests performed,0,0,0,0,0,0,0,0,0,0,0,0,0,87.96,68207114,272.898
GBR,Europe,United Kingdom,5/14/21,4450881,2193,2254.571,127754,17,10,65255.378,32.152,33.055,1873.03,0.249,0.147,1.03,124,1.818,977,14.324,0,0,754,11.055,742405,158772068,2327.793,10.885,618352,9.066,0.0036,274.3,tests performed,56048435,36336023,19712412,0,613470,516464,82.17,53.27,28.9,0,7572,161912,0.237,59.72,68207114,272.898
GBR,Europe,United Kingdom,9/16/21,7350232,26375,29596.286,134901,158,137.857,107763.422,386.69,433.918,1977.814,2.316,2.021,0.93,1020,14.954,8127,119.152,0,0,6378,93.509,1176607,277319025,4065.837,17.251,1084273,15.897,0.0273,36.6,tests performed,92826532,48523798,44302734,0,87024,92941,136.1,71.14,64.95,0,1363,21923,0.032,41.2,68207114,272.898
GBR,Europe,United Kingdom,1/19/22,15544363,107819,92442.714,152996,359,266.714,227899.439,1580.759,1355.324,2243.109,5.263,3.91,0.89,675,9.896,18621,273.007,0,0,13710,201.005,1595845,423426729,6207.956,23.397,1390190,20.382,0.0665,15,tests performed,136905995,52168592,48048962,36688441,113612,141454,200.72,76.49,70.45,53.79,2074,19605,0.029,48.61,68207114,272.898
GTM,North America,Guatemala,5/17/20,1763,0,101.571,33,0,1,96.603,0,5.566,1.808,0,0.055,1.55,0,0,0,0,0,0,0,0,177,7253,0.397,0.01,243,0.013,0.418,2.4,people tested,0,0,0,0,0,0,0,0,0,0,0,0,0,96.3,18249868,157.834
GTM,North America,Guatemala,9/19/20,85152,808,499.143,3105,29,22.286,4665.897,44.274,27.35,170.138,1.589,1.221,1,0,0,0,0,0,0,0,0,432,169073,9.264,0.024,839,0.046,0.5949,1.7,people tested,0,0,0,0,0,0,0,0,0,0,0,0,0,67.59,18249868,157.834
GTM,North America,Guatemala,1/22/21,152956,561,770.857,5420,31,34.714,8381.211,30.74,42.239,296.988,1.699,1.902,1.06,0,0,0,0,0,0,0,0,3956,402241,22.041,0.217,3078,0.169,0.2504,4,people tested,0,0,0,0,0,0,0,0,0,0,0,0,0,59.72,18249868,157.834
GTM,North America,Guatemala,5/27/21,251336,1040,869.857,8070,12,16.857,13771.935,56.987,47.664,442.195,0.658,0.924,1.07,0,0,0,0,0,0,0,0,3691,745904,40.872,0.202,2798,0.153,0.3109,3.2,people tested,452100,397545,54555,0,22141,16392,2.48,2.18,0.3,0,898,8961,0.049,51.85,18249868,157.834
GTM,North America,Guatemala,9/29/21,557244,3955,2751,13525,72,48.571,30534.139,216.714,150.741,741.101,3.945,2.661,0.89,0,0,0,0,0,0,0,0,10387,1364838,74.786,0.569,7207,0.395,0.3817,2.6,people tested,6904008,4489053,2414955,0,69849,68566,37.83,24.6,13.23,0,3757,32631,0.179,66.2,18249868,157.834
GTM,North America,Guatemala,2/1/22,694513,4223,2993.429,16401,16,16.571,38055.782,231.399,164.025,898.691,0.877,0.908,1.19,0,0,0,0,0,0,0,0,9813,2001336,109.663,0.538,6503,0.356,0.4603,2.2,people tested,13489474,6943832,5308426,1237216,38299,53857,73.92,38.05,29.09,6.78,2951,11874,0.065,43.98,18249868,157.834
HND,North America,Honduras,6/19/20,11258,519,446.571,349,6,6.143,1118.753,51.575,44.378,34.682,0.596,0.61,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,96.3,10062994,82.805
HND,North America,Honduras,10/22/20,91509,431,774.286,2604,8,7.429,9093.616,42.83,76.944,258.77,0.795,0.738,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,81.48,10062994,82.805
HND,North America,Honduras,2/24/21,167494,947,701.429,4076,36,20.429,16644.549,94.107,69.704,405.048,3.577,2.03,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,82.41,10062994,82.805
HND,North America,Honduras,6/29/21,262069,1738,993.143,6980,58,23.143,26042.846,172.712,98.693,693.631,5.764,2.3,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,25528,0,0,0,0,2537,25271,0.251,78.7,10062994,82.805
HND,North America,Honduras,11/1/21,375381,0,176.143,10239,0,6.857,37303.113,0,17.504,1017.49,0,0.681,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,47616,0,0,0,0,4732,434,0.004,63.89,10062994,82.805
IDN,Asia,Indonesia,4/4/20,2092,106,133.857,191,10,12.714,7.57,0.384,0.484,0.691,0.036,0.046,1.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,50.93,276361788,145.725
IDN,Asia,Indonesia,8/7/20,121226,2473,1835.714,5593,72,66,438.65,8.948,6.642,20.238,0.261,0.239,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,62.5,276361788,145.725
IDN,Asia,Indonesia,12/10/20,598933,6033,5865.143,18336,165,140.143,2167.206,21.83,21.223,66.348,0.597,0.507,1.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,62.5,276361788,145.725
IDN,Asia,Indonesia,4/14/21,1583182,5656,5115.143,42906,124,120.286,5728.657,20.466,18.509,155.253,0.449,0.435,1.03,0,0,0,0,0,0,0,0,44286,9104944,32.946,0.16,43774,0.158,0.1169,8.6,people tested,16046363,10477506,5568857,0,240403,330147,5.81,3.79,2.02,0,1195,184250,0.067,71.76,276361788,145.725
IDN,Asia,Indonesia,8/17/21,3892479,20741,24808.286,120013,1180,1342,14084.722,75.05,89.767,434.26,4.27,4.856,0.73,0,0,0,0,0,0,0,0,101426,19992070,72.34,0.367,116311,0.421,0.2133,4.7,people tested,84141599,54982550,29159049,0,1233933,1149781,30.45,19.9,10.55,0,4160,541000,0.196,71.76,276361788,145.725
IDN,Asia,Indonesia,12/20/21,4260677,133,204,144013,11,9.286,15417.026,0.481,0.738,521.103,0.04,0.034,0.92,0,0,0,0,0,0,0,0,142020,40569980,146.8,0.514,189002,0.684,0.0011,926.5,people tested,258955775,151775597,107180178,0,486334,1282994,93.7,54.92,38.78,0,4642,699948,0.253,63.43,276361788,145.725
IND,Asia,India,2/17/20,3,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,10.19,1393409033,450.419
IND,Asia,India,6/21/20,425282,14831,13265.429,13699,445,597,305.21,10.644,9.52,9.831,0.319,0.428,1.23,0,0,0,0,0,0,0,0,190730,6807226,4.885,0.137,164087,0.118,0.0808,12.4,samples tested,0,0,0,0,0,0,0,0,0,0,0,0,0,87.5,1393409033,450.419
